________________________________________________________________________________________________________________________
|reciters                        |  السور المسجلة  surah_total  |                   اسم القاؤر                        
|________________________________|_______________________________|______________________________________________________
|0 Ibrahim Al-Akdar              |             114               |                 إبراهيم الأخضر                       
|________________________________|_______________________________|______________________________________________________
|1 Akram Alalaqmi                |             114               |                 أكرم العلاقمي                         
|________________________________|_______________________________|______________________________________________________
|2 Mohammad Saleh Alim Shah      |             114               |                 محمد صالح عالم شاه                  
|________________________________|_______________________________|______________________________________________________
|3 Mohammed Jibreel              |             114               |                 محمد جبريل
|________________________________|_______________________________|______________________________________________________
|4 Mohammed Siddiq Al-Minshawi   |             114               |                 محمد صديق المنشاوي
|________________________________|_______________________________|______________________________________________________
|5 Mohammad Abdullkarem          |             114               |                 محمد عبدالكريم
|________________________________|_______________________________|______________________________________________________
|6 Mohammad Al-Abdullah          |             114               |                 محمد عبدالحكيم سعيد العبدالله
|________________________________|_______________________________|______________________________________________________
|7 Mahmoud Khalil Al-Hussary     |             114               |                 محمود خليل الحصري
|________________________________|_______________________________|______________________________________________________
|8 Mahmoud Ali  Albanna          |             114               |                 محمود علي البنا
|________________________________|_______________________________|______________________________________________________
|9 Mishary Alafasi               |             5                 |                 مشاري العفاسي
|________________________________|_______________________________|______________________________________________________
|10 Mustafa Ismail               |             114               |                 مصطفى إسماعيل
|________________________________|_______________________________|______________________________________________________
|11 Mustafa Al-Lahoni            |             114               |                 مصطفى اللاهوني
|________________________________|_______________________________|______________________________________________________
|12 Alhusayni Al-Azazi           |             57                |                 الحسيني العزازي
|________________________________|_______________________________|______________________________________________________
|13 Mustafa raad Alazawy         |             114               |                 مصطفى رعد العزاوي
|________________________________|_______________________________|______________________________________________________
|14 Muamar (From Indonesia)      |             8                 |                 معمر الأندونيسي  
|________________________________|_______________________________|______________________________________________________
|15 Majed Al-Zamil               |             114               |                 ماجد الزامل  
|________________________________|_______________________________|______________________________________________________
|16 Maher Shakhashero            |             114               |                 ماهر شخاشيرو  
|________________________________|_______________________________|______________________________________________________
|17 Mohammad AlMonshed           |             110               |                 محمد المنشد  
|________________________________|_______________________________|______________________________________________________
|18 Mahmood AlSheimy             |             114               |                 محمود الشيمي  
|________________________________|_______________________________|______________________________________________________
|19 Yasser Salamah               |             114               |                 ياسر سلامة  
|________________________________|_______________________________|______________________________________________________
|20 Akhil Abdulhayy Rawa         |             4                 |                 أخيل عبدالحي روا
|________________________________|_______________________________|______________________________________________________
|21 Ustaz Zamri                  |             7                 |                 أستاذ زامري
|________________________________|_______________________________|______________________________________________________
|22 Idrees Abkr                  |             111               |                 إدريس أبكر
|________________________________|_______________________________|______________________________________________________
|23 Khalid Almohana              |             114               |                 خالد المهنا
|________________________________|_______________________________|______________________________________________________
|24 Adel Al-Khalbany             |             114               |                 عادل الكلباني
|________________________________|_______________________________|______________________________________________________
|25 Mousa Bilal                  |             114               |                 موسى بلال
|________________________________|_______________________________|______________________________________________________
|26 Hussain Alshaik              |             15                |                 حسين آل الشيخ
|________________________________|_______________________________|______________________________________________________
|27 Hatem Fareed Alwaer          |             114               |                 حاتم فريد الواعر
|________________________________|_______________________________|______________________________________________________
|28 Ibrahim Aljormy              |             114               |                 إبراهيم الجرمي
|________________________________|_______________________________|______________________________________________________
|29 Mahmood Al rifai             |             114               |                 محمود الرفاعي
|________________________________|_______________________________|______________________________________________________
|30 Nasser Al obaid              |             9                 |                 ناصر العبيد
|________________________________|_______________________________|______________________________________________________
|31 Wasel Almethen               |             9                 |                 واصل المذن
|________________________________|_______________________________|______________________________________________________
|32 Ibrahim Aldosari             |             114               |                 إبراهيم الدوسري
|________________________________|_______________________________|______________________________________________________
|33 Alzain Mohammad Ahmad        |             114               |                 الزين محمد أحمد
|________________________________|_______________________________|______________________________________________________
|34 Jamaan Alosaimi              |             114               |                 جمعان العصيمي
|________________________________|_______________________________|______________________________________________________
|35 Rodziah Abdulrahman          |             4                 |                 رضية عبدالرحمن
|________________________________|_______________________________|______________________________________________________
|36 Rogayah Sulong               |             1                 |                 رقية سولونق
|________________________________|_______________________________|______________________________________________________
|37 Sapinah Mamat                |             4                 |                 سابينة مامات
|________________________________|_______________________________|______________________________________________________
|38 Saidin Abdulrahman           |             4                 |                 سيدين عبدالرحمن
|________________________________|_______________________________|______________________________________________________
|39 Abdulghani Abdullah          |             13                |                 عبدالغني عبدالله
|________________________________|_______________________________|______________________________________________________
|40 Abdullah Fahmi               |             4                 |                 عبدالله فهمي
|________________________________|_______________________________|______________________________________________________
|41 Muhammad Al-Hafiz            |             3                 |                 محمد الحافظ
|________________________________|_______________________________|______________________________________________________
|42 Mohammed Hafas Ali           |             5                 |                 محمد حفص علي
|________________________________|_______________________________|______________________________________________________
|43 Muhammed Khairul Anuar       |             4                 |                 محمد خير النور
|________________________________|_______________________________|______________________________________________________
|44 Al-Qaria Yassen              |             114               |                 القارئ ياسين
|________________________________|_______________________________|______________________________________________________
|45 Yousef Bin Noah Ahmad        |             114               |                 يوسف بن نوح أحمد
|________________________________|_______________________________|______________________________________________________
|46 Jamal Addeen Alzailaie       |             8                 |                 جمال الدين الزيلعي
|________________________________|_______________________________|______________________________________________________
|47 Moeedh Alharthi              |             114               |                 معيض الحارثي
|________________________________|_______________________________|______________________________________________________
|48 Mohammad Rashad Alshareef    |             114               |                 محمد رشاد الشريف
|________________________________|_______________________________|______________________________________________________
|49 Ahmed Al-trabulsi            |             114               |                 أحمد الطرابلسي
|________________________________|_______________________________|______________________________________________________
|50 Abdullah Al-Kandari          |             114               |                 عبدالله الكندري
|________________________________|_______________________________|______________________________________________________
|51 Ahmed Amer                   |             114               |                 أحمد عامر
|________________________________|_______________________________|______________________________________________________
|52 Ibrahem Assadan              |             4                 |                 إبراهيم السعدان
|________________________________|_______________________________|______________________________________________________
|53 Ahmad Alhuthaifi             |             105               |                 أحمد الحذيفي
|________________________________|_______________________________|______________________________________________________
|54 Alashri Omran                |             113               |                 العشري عمران
|________________________________|_______________________________|______________________________________________________
|55 Mohammed Osman Khan          |             114               |                 محمد عثمان خان
|________________________________|_______________________________|______________________________________________________
|56 Youssef Edghouch             |             22                |                 يوسف الدغوش
|________________________________|_______________________________|______________________________________________________
|57 Addokali Mohammad Alalim     |             114               |                 الدوكالي محمد العالم
|________________________________|_______________________________|______________________________________________________
|58 Wishear Hayder Arbili        |             2                 |                 وشيار حيدر اربيلي
|________________________________|_______________________________|______________________________________________________
|59 Alfateh Alzubair             |             114               |                 الفاتح محمد الزبير
|________________________________|_______________________________|______________________________________________________
|60 Tareq Abdulgani daawob       |             114               |                 طارق عبدالغني دعوب
|________________________________|_______________________________|______________________________________________________
|61 Othman Al-Ansary             |             76                |                 عثمان الأنصاري
|________________________________|_______________________________|______________________________________________________
|62 Bandar Balilah               |             114               |                 بندر بليله
|________________________________|_______________________________|______________________________________________________
|63 Khalid Al-Shoraimy           |             73                |                 خالد الشريمي
|________________________________|_______________________________|______________________________________________________
|64 Wadeea Al-Yamani             |             114               |                 وديع اليمني
|________________________________|_______________________________|______________________________________________________
|65 Aloyoon Al-Koshi             |             114               |                 العيون الكوشي
|________________________________|_______________________________|______________________________________________________
|66 Raad Al Kurdi                |             93                |                 رعد محمد الكردي
|________________________________|_______________________________|______________________________________________________
|67 Abdulrahman Aloosi           |             114               |                 عبدالرحمن العوسي
|________________________________|_______________________________|______________________________________________________
|68 Khalid Algamdi               |             28                |                 خالد الغامدي
|________________________________|_______________________________|______________________________________________________
|69 Ramadan Shakoor              |             61                |                 رمضان شكور
|________________________________|_______________________________|______________________________________________________
|70 Abdulmajeed Al-Arkani        |             46                |                 عبدالمجيد الأركاني
|________________________________|_______________________________|______________________________________________________
|71 Mohammad Khalil Al-Qari      |             15                |                 محمد خليل القارئ
|________________________________|_______________________________|______________________________________________________
|72 Rami Aldeais                 |             114               |                 رامي الدعيس
|________________________________|_______________________________|______________________________________________________
|73 Hazza Al-Balushi             |             75                |                 هزاع البلوشي
|________________________________|_______________________________|______________________________________________________
|74 Abdulrahman Al-Majed         |             114               |                 عبدالرحمن الماجد
|________________________________|_______________________________|______________________________________________________
|75 Tawfeeq As-Sayegh            |             114               |                 توفيق الصايغ
|________________________________|_______________________________|______________________________________________________
|76 Salman Alotaibi              |             61                |                 سلمان العتيبي
|________________________________|_______________________________|______________________________________________________
|77 Mohammad Refat               |             32                |                 محمد رفعت
|________________________________|_______________________________|______________________________________________________
|78 Abdullah Al-Mousa            |             38                |                 عبدالله الموسى
|________________________________|_______________________________|______________________________________________________
|79 Abdullah Al-Khalaf           |             114               |                 عبدالله الخلف
|________________________________|_______________________________|______________________________________________________
|80 Mansour Al-Salemi            |             41                |                 منصور السالمي
|________________________________|_______________________________|______________________________________________________
|81 Salah Musali                 |             48                |                 صلاح مصلي
|________________________________|_______________________________|______________________________________________________
|82 Khalid Alsharekh             |             64                |                 خالد الشارخ
|________________________________|_______________________________|______________________________________________________
|83 Nasser Alosfor               |             111               |                 ناصر العصفور
|________________________________|_______________________________|______________________________________________________
|84 Jamal Shaker Abdullah        |             114               |                 جمال شاكر عبدالله
|________________________________|_______________________________|______________________________________________________
|85 Ahmed Al-Swailem             |             114               |                 أحمد السويلم
|________________________________|_______________________________|______________________________________________________
|86 Islam Sobhi                  |             25                |                 إسلام صبحي
|________________________________|_______________________________|______________________________________________________
|87 Bader Alturki                |             114               |                 بدر التركي
|________________________________|_______________________________|______________________________________________________
|88 Hitham Aljadani              |             38                |                 هيثم الجدعاني
|________________________________|_______________________________|______________________________________________________
|89 Nasser Almajed               |             114               |                 ناصر الماجد
|________________________________|_______________________________|______________________________________________________
|90 Ahmad Shaheen                |             114               |                 أحمد خليل شاهين
|________________________________|_______________________________|______________________________________________________
|91 Mohammad Albukheet           |             109               |                 محمد البخيت
|________________________________|_______________________________|______________________________________________________
|92 Hamad Al Daghriri            |             5                 |                 حمد الدغريري
|________________________________|_______________________________|______________________________________________________
|93 Saad Almqren                 |             114               |                 سعد المقرن
|________________________________|_______________________________|______________________________________________________
|94 Ahmad Al Nufais              |             74                |                 أحمد النفيس
|________________________________|_______________________________|______________________________________________________
|95 Omar Al Darweez              |             61                |                 عمر الدريويز
|________________________________|_______________________________|______________________________________________________
|96 Abdulaziz Alasiri            |             21                |                 عبدالعزيز العسيري
|________________________________|_______________________________|______________________________________________________
|97 Younes Souilass              |             13                |                 يونس اسويلص
|________________________________|_______________________________|______________________________________________________
|98 Ahmad Deban                  |             114               |                 أحمد ديبان
|________________________________|_______________________________|______________________________________________________
|99 Ibrahim Al-Jebreen           |             99                |                 إبراهيم الجبرين
|________________________________|_______________________________|______________________________________________________
|100 Khalid Al-Jileel            |             114               |                 خالد الجليل
|________________________________|_______________________________|______________________________________________________
|101 Abdullah Kamel              |             114               |                 عبدالله كامل
|________________________________|_______________________________|______________________________________________________
|102 Peshawa Qadr Al-Kurdi       |             114               |                 بيشه وا قادر الكردي
|________________________________|_______________________________|______________________________________________________
|103 Nathier Almalki             |             114               |                 نذير المالكي
|________________________________|_______________________________|______________________________________________________
|104 Haitham Aldukhain           |             51                |                 هيثم الدخين
|________________________________|_______________________________|______________________________________________________
|105 Khaled Al-Qahtani           |             114               |                 خالد القحطاني
|________________________________|_______________________________|______________________________________________________
|106 Khalid Abdulkafi            |             114               |                 خالد عبدالكافي
|________________________________|_______________________________|______________________________________________________
|107 Muhammad Abu Sneina         |             114               |                 محمد أبو سنينة
|________________________________|_______________________________|______________________________________________________
|108 Mohammed Al-Amin Qeniwa     |             114               |                 محمد الأمين قنيوة
|________________________________|_______________________________|______________________________________________________
|109 Mahmoud Abdul Hakam         |             113               |                 محمود عبدالحكم
|________________________________|_______________________________|______________________________________________________
|110 Mohammad Saayed             |             114               |                 محمد سايد
|________________________________|_______________________________|______________________________________________________
|111 Abdulrahman Alsuwayid       |             85                |                 عبدالرحمن السويّد
|________________________________|_______________________________|______________________________________________________
|112 Abdulelah bin Aoun          |             114               |                 عبدالإله بن عون
|________________________________|_______________________________|______________________________________________________
|113 Khalid Al-Wehabi            |             11                |                 خالد الوهيبي
|________________________________|_______________________________|______________________________________________________
|114 Ahmad Talib bin Humaid      |             82                |                 أحمد طالب بن حميد
|________________________________|_______________________________|______________________________________________________
|115 Noreen Mohammad Siddiq      |             114               |                 نورين محمد صديق
|________________________________|_______________________________|______________________________________________________
|116 Abdullah Bukhari            |             80                |                 عبدالله بخاري
|________________________________|_______________________________|______________________________________________________
|117 Abdulaziz Alturki           |             66                |                 عبدالعزيز التركي
|________________________________|_______________________________|______________________________________________________
|118 Mukhtar Al-Haj              |             16                |                 مختار الحاج
|________________________________|_______________________________|______________________________________________________
|119 Abdullah Abdal              |             114               |                 عبدالله عبدل
|________________________________|_______________________________|______________________________________________________
|120 Marwan Alakri               |             114               |                 مروان العكري
|________________________________|_______________________________|______________________________________________________
|121 Ahmad Issa Al Maasaraawi    |             64                |                 أحمد عيسى المعصراوي
|________________________________|_______________________________|______________________________________________________
|122 Ibrahim Kshidan             |             114               |                 إبراهيم كشيدان
|________________________________|_______________________________|______________________________________________________
|123 Hashim Abu Dalal            |             114               |                 هاشم أبو دلال
|________________________________|_______________________________|______________________________________________________
|124 Khalifa Altunaiji           |             114               |                 خليفة الطنيجي
|________________________________|_______________________________|______________________________________________________
|125 Fouad Alkhamery             |             114               |                 فؤاد الخامري
|________________________________|_______________________________|______________________________________________________
|126 Sayed Ahmad Hashemi         |             114               |                 سيد أحمد هاشمي
|________________________________|_______________________________|______________________________________________________
|127 Khalid Mohammadi            |             114               |                 خالد كريم محمدي
|________________________________|_______________________________|______________________________________________________
|128 Saleh Alshamrani            |             114               |                 صالح الشمراني
|________________________________|_______________________________|______________________________________________________
